index,time_s,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
577,1.154,-9.022639895668602e-10,-0.10062954588551293,0.1471102254762091,-0.046594991787496154,2.9006624569457224e-11,0.007971269395212557,5.000370441796063,1,0.00037044179606304795,2.218872064214337e-10,0.00023138308614035436,3.210880511699679e-09,0.16667596803570703
578,1.156,-9.038279785411716e-10,-0.1006302231792372,0.14710469762717285,-0.04658912636252753,2.9055460489638433e-11,0.00798522602874355,5.000350646980061,1,0.00035064698006070927,2.1212604208577964e-10,0.00023178408654252975,3.2109290310589477e-09,0.16666235111996794
579,1.158,-9.053919675154832e-10,-0.1006309004729615,0.14709916977813656,-0.04658326093755891,2.910429640981965e-11,0.007999182662274546,5.0003296504778545,1,0.00032965047785449286,2.0176711711538622e-10,0.00023218508634694372,3.2109775319137584e-09,0.1666487342042287
580,1.16,-9.069559564897946e-10,-0.10063157776668578,0.1470936419291003,-0.04657739551259028,2.915313233000086e-11,0.008013139295805542,5.000307452262428,1,0.00030745226242778756,1.9081011790663575e-10,0.00023258608555328227,3.2110260385479874e-09,0.16663511728849018
581,1.162,-9.085199454641062e-10,-0.10063225506041006,0.147088114080064,-0.04657153008762166,2.9201968250182074e-11,0.008027095929336538,5.000284052342735,1,0.0002840523427352082,1.792547344569264e-10,0.00023298708416123317,3.211074549225959e-09,0.16662150037275117
582,1.164,-9.100839344384174e-10,-0.10063293235413436,0.14708258623102774,-0.046565664662653036,2.925080417036328e-11,0.008041052562867534,5.0002594506774605,1,0.000259450677460471,1.6710062399707987e-10,0.00023338808217045293,3.2111230795583563e-09,0.1666078834570118
583,1.166,-9.116479234127291e-10,-0.10063360964785863,0.14707705838199148,-0.04655979923768442,2.92996400905445e-11,0.008055009196398531,5.000233647266172,1,0.00023364726617192133,1.5434753685832307e-10,0.0002337890795806935,3.2111715723011655e-09,0.16659426654127227
584,1.168,-9.132119123870405e-10,-0.10063428694158293,0.14707153053295519,-0.046553933812715796,2.9348476010725715e-11,0.008068965829929525,5.000206642072304,1,0.00020664207230414178,1.4099509112734507e-10,0.00023419007639156802,3.2112200899002335e-09,0.16658064962553334
585,1.17,-9.147759013613521e-10,-0.1006349642353072,0.14706600268391892,-0.046548068387747166,2.939731193090693e-11,0.008082922463460523,5.000178435116254,1,0.00017843511625414976,1.270430505022133e-10,0.00023459107260284057,3.211268571642293e-09,0.16656703270979456
586,1.172,-9.163398903356635e-10,-0.10063564152903148,0.14706047483488266,-0.04654220296277855,2.944614785108814e-11,0.008096879096991517,5.000149026357434,1,0.00014902635743396786,1.1249104470618068e-10,0.00023499206821413733,3.211317074769268e-09,0.16655341579405605
587,1.174,-9.179038793099748e-10,-0.10063631882275577,0.14705494698584637,-0.046536337537809926,2.949498377126935e-11,0.008110835730522514,5.000118415787007,1,0.00011841578700710897,9.733875107360786e-11,0.00023539306322512696,3.21136561489182e-09,0.16653979887831596
588,1.176,-9.194678682842863e-10,-0.10063699611648005,0.1470494191368101,-0.04653047211284131,2.9543819691450565e-11,0.008124792364053508,5.000086603394451,1,8.660339445132337e-05,8.158596228515392e-11,0.00023579405763559348,3.2114140861962265e-09,0.16652618196257782
589,1.178,-9.210318572585978e-10,-0.10063767341020434,0.14704389128777384,-0.046524606687872685,2.959265561163178e-11,0.008138748997584506,5.000053589141011,1,5.3589141010945696e-05,6.523228118647385e-11,0.00023619505144511536,3.2114625996980443e-09,0.16651256504683837
590,1.18,-9.225958462329092e-10,-0.10063835070392863,0.14703836343873755,-0.04651874126290406,2.9641491531812984e-11,0.0081527056311155,5.000019373038637,1,1.9373038637304774e-05,4.827748719159498e-11,0.00023659604465341331,3.2115111380498852e-09,0.16649894813109847
591,1.182,-9.241598609414989e-10,-0.10063898763545233,0.14703278440410725,-0.04651287845013875,2.969018756766123e-11,0.008166675700241833,5.000015832954056,1,1.583295405627183e-05,4.673324611535484e-11,0.00023699705327248722,3.2115610817158037e-09,0.16648533121536166
